279	58
280	104
281	155
282	44
283	51
284	14
285	57
286	87
287	88
288	156
289	54
290	116
291	174
292	19
293	53
294	48
295	55
296	63
297	64
298	18
299	41
300	131
301	103
302	5
303	158
304	17
305	1
306	105
307	31
308	33
309	20
310	4
311	106
312	107
313	11
314	25
315	26
316	22
317	23
318	24
319	34
320	39
321	40
322	50
323	59
324	65
325	90
326	91
327	111
328	127
329	159
330	163
331	180
332	198
333	204
334	207
335	208
336	218
337	221
338	223
339	234
340	242
341	244
342	249
343	250
344	258
345	259
346	273
347	278
348	7
349	9
350	12
351	36
352	46
353	56
354	62
355	70
356	110
357	113
358	114
359	115
360	133
361	138
362	139
363	141
364	153
365	161
366	162
367	164
368	165
369	166
370	167
371	169
372	172
373	199
374	205
375	209
376	213
377	217
378	222
379	238
380	240
381	241
382	243
383	252
384	256
385	261
386	269
387	270
388	272
389	274
390	275
391	276
392	277
393	13
394	15
395	43
396	45
397	49
398	52
